a = 000fd750, b = 000fd750, Cin = 0, Cout = 0, S = 001faea0
a = 000fd750, b = 00046831, Cin = 0, Cout = 0, S = 00143f81
a = 000fd750, b = 000d8e15, Cin = 0, Cout = 0, S = 001d6565
a = 000fd750, b = aa21deaf, Cin = 0, Cout = 0, S = aa31b5ff
a = 000fd750, b = 33b278c3, Cin = 0, Cout = 0, S = 33c25013
a = 000fd750, b = 627ecaf3, Cin = 0, Cout = 0, S = 628ea243
a = 000fd750, b = 34d72f2d, Cin = 0, Cout = 0, S = 34e7067d
a = 000fd750, b = e2e08ab9, Cin = 0, Cout = 0, S = e2f06209
a = 000fd750, b = 2f2bb91f, Cin = 0, Cout = 0, S = 2f3b906f
a = 000fd750, b = 758e1030, Cin = 0, Cout = 0, S = 759de780
a = 000fd750, b = fb5d968d, Cin = 0, Cout = 0, S = fb6d6ddd
a = 000fd750, b = 3e4aff0f, Cin = 0, Cout = 0, S = 3e5ad65f
a = 000fd750, b = ff2394c7, Cin = 0, Cout = 0, S = ff336c17
a = 000fd750, b = ce62f445, Cin = 0, Cout = 0, S = ce72cb95
a = 000fd750, b = 52448c87, Cin = 0, Cout = 0, S = 525463d7
a = 000fd750, b = dbd68233, Cin = 0, Cout = 0, S = dbe65983
a = 000fd750, b = 43612820, Cin = 0, Cout = 0, S = 4370ff70
a = 000fd750, b = ed72357f, Cin = 0, Cout = 0, S = ed820ccf
a = 000fd750, b = c9cf911c, Cin = 0, Cout = 0, S = c9df686c
a = 000fd750, b = f2332a08, Cin = 0, Cout = 0, S = f2430158
a = 000fd750, b = 9a071031, Cin = 0, Cout = 0, S = 9a16e781
a = 000fd750, b = ceda8cdd, Cin = 0, Cout = 0, S = ceea642d
a = 000fd750, b = 15f57248, Cin = 0, Cout = 0, S = 16054998
a = 000fd750, b = 08e09e65, Cin = 0, Cout = 0, S = 08f075b5
a = 000fd750, b = 87cefc84, Cin = 0, Cout = 0, S = 87ded3d4
